name,phone,fsa,ai_reputation_score,bbb_rating,reviews_source,website
Action Plumbing&Heating,,B4E,70.0,,,
Partington Sales,,B2V,70.0,,,
Halifax Plumbing and Heating,,B3B,70.0,,,
Atlantic Backflow Specialists Ltd,,B2W,70.0,,,
Total Plumbing Inc,,B3B,70.0,,,
McNair Bros Plumbing&Heating Ltd,,B4A,70.0,,,
Reliable Rooter,,B3B,70.0,,,
Al's Flat Rate Plumbing,,,70.0,,,
Gophers Plumbing,,B2W,70.0,,,
Gopher Plumbing & Hydronic Heating,,B2W,70.0,,,
EMCO Corporation,,B3B,70.0,,,
Parker Plumbing & Heating Ltd,,B3B,70.0,,,
W J Power Plumbing & Heating,,B3B,70.0,,,
EMCO Corporation,,B3B,70.0,,,
Integrated Commissioning and Certification,,B2Y,70.0,,,
Mister Hot Water Heater,,B2W,70.0,,,
Blackburn Bennett Plumbing & Heating Inc,,B2W,70.0,,,
Blackburn Bennett Plumbing & Heating Inc,,B2W,70.0,,,
ADT Security Services,,B3B,70.0,,,
Pentz Contracting,,B3A,70.0,,,
Plumbing Barn,,B2Y,70.0,,,
Dartmouth Plumbers Ltd,,B2Y,70.0,,,
Lindsay's Plumbing & Heating,,B3A,70.0,,,
Kdr Plumbing - Kevin Rendell,,B2Y,70.0,,,
East Coast Plumbing & Heating Ltd,,B2Y,70.0,,,
H2O Plumbing,,B4B,70.0,,,
Uniplex Plumbing & Renovation Ltd.,,B3A,70.0,,,
Macintosh Mechanical Plumbing Services,,B3M,70.0,,,
All Clear Drain Svc,,B3K,70.0,,,
Tanner Supply,,B3K,70.0,,,
Doctor Drain,,,70.0,,,
Alpha Plumbing & Heating Ltd,,,70.0,,,
A J Murphy Plumbing & Heating,,B3A,70.0,,,
Blackburn Bennett Plumbing & Heating Inc,,,70.0,,,
Ace Plumbing & Heating Ltd,,B3K,70.0,,,
Daniel Landry,,,70.0,,,
B.E Plumbing Services,,,70.0,,,
Dartmouth Central Plumbing & Heating,,B0J,70.0,,,
EMCO Corporation,,B3K,70.0,,,
T O Plumbing & Heating Ltd,,B4B,70.0,,,
Halifax Plumbing Pros,,,70.0,,,
Harbour City Plumbing and Renovations,,B3H,70.0,,,
Halifax Plumbing Experts,,B3H,70.0,,,
Trevor Wheatley's Plumbing & Heating ltd,,B3L,70.0,,,
In Fluid Products Canada,,B3L,70.0,,,
Kirk Heating Limited,,B4B,70.0,,,
Accord Pipe Lining Plumbing Services,,B3M,70.0,,,
"Plumb Line Osteopathy , Kara Muhlhausen",,B4B,70.0,,,
Main Drain Plumbing And Heating,,B3M,70.0,,,
Blanchard R S Plumbing&Heating Ltd,,,70.0,,,
Pace Plumbing & Heating Ltd,,B3P,70.0,,,
Bremner's Plumbing & Heating,,B3S,70.0,,,
Nolan Plumbing & Heating,,B3Z,70.0,,,
MacDonald C C Limited,,B3S,70.0,,,
JRK Plumbing,,B3R,70.0,,,
DC Heat & Maintenance Ltd,,B3R,70.0,,,
902 Plumbing & Heating,,B3T,70.0,,,
HPH Mechanical Ltd,,B3T,70.0,,,
Clean Flo Plumbing & Heating Ltd,,B3T,70.0,,,
Bear Mechanical Plumbing & Heating,,B3R,70.0,,,
Archangel Plumbing & Heating,,,70.0,,,
Tantallon Plumbing & Heating,,B3Z,70.0,,,
JEILD Plumbing Limited,,B3Z,70.0,,,
Eric J Dodge Plumbing Services,,,70.0,,,
Reynolds Plumbing & Heating Ltd,,B0P,70.0,,,
Donald's Burner & Plumbing Services Ltd,,B0P,70.0,,,
M C Plumbing And Heating,,B0P,70.0,,,
Robars' Tri-Service Ltd,,,70.0,,,
Suburban,,B3Z,70.0,,,
"Avonport Plumbing, Heating and Electrical Ltd",,B0P,70.0,,,
Parker R J Mechanical,,B3T,70.0,,,
